Order_ID,Product_ID,Product_Name,Category,Price,Quantity,Customer_ID,Customer_Location,Order_Date,Delivery_Date,Rating,Order_Status,Gender,Age_Group,Total_Sales
807341b3-7a3b-441b-927a-504ba580219e,7ea53548-6d66-48eb-804e-4c263d29eb38,Agreement,Electronics,29.9,9,9a9dce6e-1d7e-4a39-9c7e-d1726473f6ce,Courtneyburgh,2024-04-24,2024-02-05,4,Delivered,Male,18-24,269.09999999999997
25421b5b-5210-4e4b-85e6-e224661f5701,64499466-db7a-4def-9208-2244a2164517,Activity,Books,14.85,2,782dbe42-1ca5-4be5-baf7-d42eced60621,Daisyborough,2024-09-24,2024-04-15,1,Returned,Male,25-34,29.7
54ed36a0-86b8-4d0e-872e-87aad698751b,5f1bb44b-6189-4201-b3d6-29e517e7e7ec,Church,Beauty,10.28,5,e7451611-73b0-442c-a154-3cc2986dfd76,South Christopher,2024-08-13,2024-01-20,3,Cancelled,Female,65+,51.4
9515b357-35c7-4be4-b561-bbe9f69746e8,d1aa78ac-894b-40cc-b41f-542f355e005f,Actually,Beauty,7.16,4,9782a7f7-3f4a-44b8-b5f8-12ffde88649e,Lake Rachel,2024-06-01,2024-01-31,5,Returned,Female,45-54,28.64
693f322a-bdc0-4816-aadb-bf293271d6c7,7ebcd3b2-c4a9-4240-ad39-deb0dbf4c2d7,Time,Electronics,22.05,9,017442e4-b207-4745-9d1e-91d4e71421a9,North Aaron,2024-03-10,2024-04-28,4,Cancelled,Female,35-44,198.45000000000002
c5999a51-d681-42c8-ac24-5a41e8c55792,c731fa60-a712-4403-8d49-77a7dcff5220,Sure,Clothing,29.99,2,870fc1e8-fd1e-47d9-ab34-062ec4474375,Welchmouth,2024-09-17,2024-07-27,2,Delivered,Male,25-34,59.98
362d214d-ca67-4d40-964b-603abff7a9fd,947afb4f-a0b0-441e-9dc8-7930ae784669,Hope,Toys,13.04,8,69306570-3b42-49e0-aa29-9bd5cde7fa0d,Charlesburgh,2024-07-03,2024-06-22,2,Pending,Female,55-64,104.32
ac19c49c-58a8-4df7-b2cd-86e3e0fc7997,d3dad0b1-7f94-4e22-8a9d-7962e54b5a5b,Science,Home & Kitchen,11.1,3,bdb877ac-12a3-434b-a10e-a0423c2519b3,Katherineville,2024-08-12,2024-03-23,3,Delivered,Male,45-54,33.3
a3985458-a70c-4548-ad79-ef82c23e765f,ed673fb8-2ba1-4f38-a7f9-01e297b78fc5,However,Toys,13.12,7,0c84caa4-c213-4bcb-a80e-61272224fc65,Lawrenceburgh,2024-03-21,2024-03-04,2,Returned,Male,55-64,91.83999999999999
9b5b3c9d-e2bb-4ba7-9eed-915a7cc73248,524af962-e43c-4ce9-bd1a-53e279b9f778,Hotel,Sports,12.58,8,5f991659-c3b5-40c4-94d8-736daa92717f,Lake Marcus,2024-01-01,2024-04-10,5,Pending,Male,55-64,100.64
864b52af-a7c6-4675-b58b-8a30e9d44e80,931c1667-4c0e-403c-86b2-f357c161c832,Some,Sports,22.52,10,bf65489d-4660-47f5-8cbb-346c9a8e11ed,East Joseph,2024-09-19,2024-01-04,1,Shipped,Male,55-64,225.2
9bb33a5b-473f-4412-8ca6-6bc7417fc294,f122d113-9040-47ad-84d4-a8563007cbee,Behavior,Sports,10.08,3,41c3487b-f51e-417f-a746-4e1a2ecfde26,Jacksonmouth,2024-02-20,2024-10-03,1,Cancelled,Female,18-24,30.240000000000002
a32347be-967d-4771-b718-16195a7f6688,9d6a4621-9b5b-49fc-b808-9a9b11806ef6,Realize,Automotive,7.06,9,0ce75e9b-7bc9-46e6-a4b1-70d5bc19c90a,Howellland,2024-03-04,2024-01-02,5,Cancelled,Female,18-24,63.54
fc0834d5-a780-42e9-b28c-bce5e31cdf40,7a167c94-ac94-491a-a2af-47ad787568a9,Us,Clothing,14.73,4,512a2aa9-de7c-4219-b6f8-9b9191274c40,West Laurenmouth,2024-01-06,2024-04-15,3,Cancelled,Male,65+,58.92
c36b0192-0309-48f1-aa15-498a5530a358,1aa5a9fc-f3bf-41d2-8413-d1ad66fa2add,Central,Clothing,8.18,8,f33e2938-9903-467f-a812-d25b3d8e84e4,Johnfort,2024-02-26,2024-07-28,3,Shipped,Female,55-64,65.44
71a40354-8ca0-42df-b37a-28b8941366f4,48d697dd-dfbc-4dcd-8d43-f2b34a14099a,Great,Home & Kitchen,25.77,1,bb7eb117-5305-42ff-8c2c-3d7c5dbbf166,East Timothy,2024-02-18,2024-02-12,3,Pending,Female,65+,25.77
19c0cc36-5055-49ab-953f-36869b123f39,dff6ad69-3cb5-413a-8363-6518e21be962,Fall,Beauty,24.08,7,32b66213-94cf-49ef-8830-64fc70a160b4,Jamesburgh,2024-08-17,2024-09-26,4,Pending,Male,18-24,168.56
f510b72d-5df2-4923-82ba-6e4b424956eb,970c8a87-6eda-42fa-a419-5297c36c967e,Raise,Beauty,7.32,7,beabcbfd-1860-47ef-bc7c-f1431e77e906,Sandraville,2024-10-07,2024-03-14,4,Shipped,Male,18-24,51.24
d267307b-4d9e-4fd4-b223-522e06a9aa7d,ab705cd9-3d01-46d2-8831-34ecabbb1ad6,Far,Beauty,16.75,1,e1ae6216-831f-4017-9f06-8af171726efa,Yolandafort,2024-03-26,2024-08-01,4,Cancelled,Female,25-34,16.75
aadde728-c819-4008-81c2-3b4c0320c1e3,6bdd92ab-5daf-4982-9c58-54117e11afca,Never,Automotive,28.57,6,23b40092-47b5-4165-8e3b-118da93ebec2,Port Wendy,2024-03-05,2024-05-16,3,Pending,Female,55-64,171.42000000000002
5266eade-ad3e-4189-9d0e-2963d046ef29,16b4f240-536b-4263-9538-6a08380862c8,National,Automotive,18.65,10,1b99b816-eb73-4a70-b632-000b3a4be640,Mcintyreberg,2024-04-05,2024-08-27,4,Shipped,Female,25-34,186.5
f0f4cd21-9fe4-41c8-aecc-a11959639043,9a99fdab-fc13-4a54-bc60-26069880c849,Even,Books,19.83,9,9f8f62f9-e502-4e11-9303-2afc1c699a72,Lesliebury,2024-02-05,2024-04-30,3,Pending,Female,55-64,178.46999999999997
c9aaba47-5bce-4cd4-b5c2-7196c3811335,ae14953f-608e-4b12-a123-57b205ad8585,Window,Clothing,14.38,9,83b95592-c512-4cd8-b553-efd62c0dff65,Meyersborough,2024-05-05,2024-06-21,2,Delivered,Male,35-44,129.42000000000002
38cbc2a0-8fc4-4f9c-a530-e335d14fc228,d42ac86f-e7c9-4ed3-8a61-9e6511277d5b,Manage,Beauty,24.0,9,5357922d-0600-4afb-97b1-93a56d999a14,Kylebury,2024-02-28,2024-04-10,3,Pending,Male,18-24,216.0
298851c3-d464-4edf-8665-bfca40793fd6,f4e41ce9-7f85-4e80-91de-68cda318bf5f,Himself,Beauty,20.92,1,808ee53d-a8fd-4e9c-855c-6e8842df8089,Lake Kevin,2024-08-02,2024-06-11,3,Cancelled,Female,18-24,20.92
781edb3c-98f6-466a-919c-161207051479,efd7ed85-64dc-4ef9-98b8-820e6cb7cc14,Mr,Automotive,18.39,6,4569fac4-7ce6-4bcc-8aea-3c150628a8b2,South Erinhaven,2024-08-21,2024-06-27,4,Shipped,Female,65+,110.34
ac6d7eaf-2357-47aa-bd39-985c2d8c7d0b,c3f193f6-9fac-49b9-94a6-ce306159e322,Environment,Home & Kitchen,16.77,1,4e34ffd9-21ef-4151-969f-cdb510648b02,Hernandezport,2024-09-15,2024-06-07,3,Cancelled,Female,25-34,16.77
17ba6538-6646-4e58-964e-68d2129fb80d,2c90792e-9f65-4cf3-a7f3-e9833e6f793b,Church,Sports,10.29,6,5d4bc989-d04a-43be-9846-401bf5bc3c1c,Gonzalezshire,2024-06-28,2024-03-29,1,Cancelled,Female,55-64,61.739999999999995
0cdbdab2-ca60-40cd-a87c-77fb826ddc26,23613655-4def-4d65-8a27-6431a146dd44,Soldier,Books,26.46,2,913b2890-6ae9-41e7-817b-fa177218be3f,Port Vanessastad,2024-07-29,2024-07-13,3,Pending,Female,45-54,52.92
46f3043f-2645-409d-b52e-bdaaedd4551e,f050da05-c245-4227-88f8-65b0f3eafece,Along,Electronics,14.78,7,c3c87906-ac61-4606-ad30-a9e358fbefef,Deanshire,2024-06-14,2024-02-12,3,Returned,Female,55-64,103.46
602f5098-3356-4824-a7c6-dd6ffae6d5f9,1265477c-54e4-4e6f-8036-2f786b784555,Space,Home & Kitchen,29.41,3,9b773d24-2d0b-498e-b6b3-68275178b236,Michaelhaven,2024-09-08,2024-04-25,5,Pending,Female,35-44,88.23
ce0f5a46-65b3-44fa-bf9f-266881b38421,249b59be-3468-49fb-9baa-267f3347c83f,Then,Beauty,27.39,1,9b28e3de-5a9e-4ca0-9c91-4389f9a3220f,Port Monica,2024-03-13,2024-03-30,4,Shipped,Male,35-44,27.39
09142a48-38da-4563-8514-a53b538b0a08,a318a0ca-f5d3-4a7f-a41b-3317946f4f49,Ten,Toys,11.85,5,c1f4acb7-cc78-4889-a118-0f8fcc7fdf7d,South Ann,2024-03-03,2024-02-16,5,Cancelled,Male,45-54,59.25
1c1c598f-97ff-44f6-8ede-dd84e7f73145,c45a8b97-5df1-4bea-9519-7e7867351395,Paper,Clothing,26.23,6,c495f4b5-011a-4a4e-9ef2-3e7fb24fe11a,Brooksstad,2024-08-16,2024-08-21,3,Delivered,Male,55-64,157.38
c9be441d-bdf3-4c75-8caf-58751248a630,cf9710d6-3869-4df7-b4cf-37c1fe2e5d48,Attack,Clothing,18.58,8,ab824de0-6a25-462b-929c-d723c16f4c25,Sellerstown,2024-04-23,2024-02-12,5,Delivered,Female,65+,148.64
aedd5ca4-e4d1-4d67-a6da-32016d10f92b,6afd59fd-7fb1-4163-a631-2f0ad91b5e51,Customer,Home & Kitchen,21.35,5,fbe9bfc8-6a4d-4862-87ec-912546845e58,South Marthabury,2024-05-23,2024-02-28,5,Pending,Male,18-24,106.75
